400 3
0.000000 0.000000 0.000000
-0.000000 -1.873515 -0.000000
-0.000000 -3.601671 -0.000000
-0.000000 -5.195036 -0.000000
-0.000000 -6.663157 -0.000000
-0.000000 -8.014672 -0.000000
-0.000000 -9.257415 -0.000000
-0.000000 -10.398511 -0.000000
-0.000000 -11.444452 -0.000000
-0.000000 -12.401178 -0.000000
-0.000000 -13.274137 -0.000000
-0.000001 -14.068341 -0.000001
-0.000002 -14.788422 -0.000002
-0.000004 -15.438673 -0.000004
-0.000006 -16.023087 -0.000006
-0.000010 -16.545393 -0.000010
-0.000016 -17.009084 -0.000016
-0.000025 -17.417444 -0.000025
-0.000038 -17.773573 -0.000038
-0.000057 -18.080401 -0.000057
-0.000082 -18.340709 -0.000082
-0.000116 -18.557142 -0.000116
-0.000162 -18.732225 -0.000162
-0.000221 -18.868365 -0.000221
-0.000298 -18.967870 -0.000298
-0.000396 -19.032951 -0.000396
-0.000520 -19.065726 -0.000520
-0.000673 -19.068234 -0.000673
-0.000863 -19.042432 -0.000863
-0.001094 -18.990199 -0.001094
-0.001375 -18.913344 -0.001375
-0.001711 -18.813606 -0.001711
-0.002112 -18.692656 -0.002112
-0.002586 -18.552097 -0.002586
-0.003144 -18.393471 -0.003144
-0.003794 -18.218255 -0.003794
-0.004549 -18.027865 -0.004549
-0.005420 -17.823657 -0.005420
-0.006419 -17.606926 -0.006419
-0.007559 -17.378912 -0.007559
-0.008854 -17.140794 -0.008854
-0.010317 -16.893697 -0.010317
-0.011964 -16.638689 -0.011964
-0.013808 -16.376784 -0.013808
-0.015867 -16.108944 -0.015867
-0.018154 -15.836076 -0.018154
-0.020687 -15.559038 -0.020687
-0.023481 -15.278638 -0.023481
-0.026552 -14.995635 -0.026552
-0.029917 -14.710738 -0.029917
-0.033591 -14.424614 -0.033591
-0.037591 -14.137882 -0.037591
-0.041931 -13.851120 -0.041931
-0.046628 -13.564862 -0.046628
-0.051696 -13.279602 -0.051696
-0.057150 -12.995797 -0.057150
-0.063002 -12.713863 -0.063002
-0.069267 -12.434183 -0.069267
-0.075955 -12.157105 -0.075955
-0.083079 -11.882943 -0.083079
-0.090648 -11.611981 -0.090648
-0.098672 -11.344472 -0.098672
-0.107159 -11.080643 -0.107159
-0.116115 -10.820690 -0.116115
-0.125545 -10.564789 -0.125545
-0.135454 -10.313089 -0.135454
-0.145845 -10.065716 -0.145845
-0.156718 -9.822777 -0.156718
-0.168073 -9.584359 -0.168073
-0.179909 -9.350530 -0.179909
-0.192221 -9.121342 -0.192221
-0.205003 -8.896829 -0.205003
-0.218250 -8.677013 -0.218250
-0.231953 -8.461902 -0.231953
-0.246100 -8.251491 -0.246100
-0.260680 -8.045764 -0.260680
-0.275678 -7.844694 -0.275678
-0.291080 -7.648248 -0.291080
-0.306868 -7.456380 -0.306868
-0.323022 -7.269041 -0.323022
-0.339523 -7.086171 -0.339523
-0.356347 -6.907709 -0.356347
-0.373471 -6.733585 -0.373471
-0.390870 -6.563726 -0.390870
-0.408516 -6.398056 -0.408516
-0.426380 -6.236495 -0.426380
-0.444434 -6.078961 -0.444434
-0.462647 -5.925368 -0.462647
-0.480985 -5.775631 -0.480985
-0.499415 -5.629663 -0.499415
-0.517903 -5.487376 -0.517903
-0.536414 -5.348683 -0.536414
-0.554911 -5.213494 -0.554911
-0.573357 -5.081722 -0.573357
-0.591714 -4.953279 -0.591714
-0.609944 -4.828081 -0.609944
-0.628007 -4.706041 -0.628007
-0.645865 -4.587075 -0.645865
-0.663477 -4.471102 -0.663477
-0.680804 -4.358040 -0.680804
-0.697806 -4.247811 -0.697806
-0.714443 -4.140337 -0.714443
-0.730676 -4.035544 -0.730676
-0.746465 -3.933358 -0.746465
-0.761770 -3.833709 -0.761770
-0.776553 -3.736527 -0.776553
